Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,7,21,30,22.5,0
2019,1,7,22,30,21.6,0
2019,1,7,23,30,21.2,0
2019,1,8,0,30,20.4,0
2019,1,8,1,30,19.9,0
2019,1,8,2,30,19.3,0
2019,1,8,3,30,18.7,0
2019,1,8,4,30,18.2,0
2019,1,8,5,30,18.7,0
2019,1,8,6,30,20.5,41
2019,1,8,7,30,23.5,243
2019,1,8,8,30,27,452
2019,1,8,9,30,29.8,568
2019,1,8,10,30,31.6,678
2019,1,8,11,30,32.9,724
2019,1,8,12,30,33.6,731
2019,1,8,13,30,33.6,638
2019,1,8,14,30,32.9,485
2019,1,8,15,30,31.2,290
2019,1,8,16,30,28.5,82
2019,1,8,17,30,26.2,0
2019,1,8,18,30,24.8,0
2019,1,8,19,30,23.7,0
2019,1,8,20,30,22.7,0
2019,1,8,21,30,21.8,0
2019,1,8,22,30,21,0
2019,1,8,23,30,20.5,0
2019,1,9,0,30,19.5,0
2019,1,9,1,30,19,0
2019,1,9,2,30,18.5,0
2019,1,9,3,30,18,0
2019,1,9,4,30,17.5,0
2019,1,9,5,30,17.9,0
2019,1,9,6,30,19.6,34
2019,1,9,7,30,22.6,226
2019,1,9,8,30,26.1,436
2019,1,9,9,30,29.2,584
2019,1,9,10,30,31.4,705
2019,1,9,11,30,32.8,761
2019,1,9,12,30,33.6,711
2019,1,9,13,30,33.8,616
2019,1,9,14,30,33.4,456
2019,1,9,15,30,31.6,265
2019,1,9,16,30,28.9,69
2019,1,9,17,30,26.7,0
2019,1,9,18,30,25.4,0
2019,1,9,19,30,24.6,0
2019,1,9,20,30,24,0
2019,1,9,21,30,23.5,0
2019,1,9,22,30,22.7,0
2019,1,9,23,30,22.2,0
2019,1,10,0,30,20.7,0
2019,1,10,1,30,20,0
2019,1,10,2,30,19.7,0
2019,1,10,3,30,19.8,0
2019,1,10,4,30,20,0
2019,1,10,5,30,20.4,0
2019,1,10,6,30,21.9,34
2019,1,10,7,30,24.5,230
2019,1,10,8,30,27.8,439
2019,1,10,9,30,30.9,593
2019,1,10,10,30,32.7,699
2019,1,10,11,30,33.8,757
2019,1,10,12,30,34.5,774
2019,1,10,13,30,34.5,677
2019,1,10,14,30,34,518
2019,1,10,15,30,32.6,317
2019,1,10,16,30,30.5,105
2019,1,10,17,30,28.8,0
2019,1,10,18,30,27.6,0
2019,1,10,19,30,26.4,0
2019,1,10,20,30,24.9,0
2019,1,10,21,30,23.2,0
2019,1,10,22,30,22,0
2019,1,10,23,30,21.6,0
2019,1,11,0,30,20.7,0
2019,1,11,1,30,20.1,0
2019,1,11,2,30,19.6,0
2019,1,11,3,30,19.2,0
2019,1,11,4,30,19,0
2019,1,11,5,30,19.6,0
2019,1,11,6,30,22,53
2019,1,11,7,30,25.4,209
2019,1,11,8,30,28.8,472
2019,1,11,9,30,31.8,606
2019,1,11,10,30,34,735
2019,1,11,11,30,35.2,797
2019,1,11,12,30,35.7,744
2019,1,11,13,30,35.8,657
2019,1,11,14,30,35.3,508
2019,1,11,15,30,33.3,314
2019,1,11,16,30,30.1,106
2019,1,11,17,30,27.6,0
2019,1,11,18,30,26.7,0
2019,1,11,19,30,26.1,0
2019,1,11,20,30,25.4,0
2019,1,11,21,30,24.3,0
2019,1,11,22,30,23.2,0
2019,1,11,23,30,22.7,0
2019,1,12,0,30,21.6,0
2019,1,12,1,30,21.1,0
2019,1,12,2,30,20.6,0
2019,1,12,3,30,20.1,0
2019,1,12,4,30,19.6,0
2019,1,12,5,30,19.9,0
2019,1,12,6,30,22.2,62
2019,1,12,7,30,25.6,225
2019,1,12,8,30,29.2,432
2019,1,12,9,30,32.5,554
2019,1,12,10,30,34.8,803
2019,1,12,11,30,36.1,855
2019,1,12,12,30,36.4,815
2019,1,12,13,30,36.1,719
2019,1,12,14,30,35.5,517
2019,1,12,15,30,33.7,357
2019,1,12,16,30,30.9,93
2019,1,12,17,30,28.8,0
2019,1,12,18,30,27.9,0
2019,1,12,19,30,27.4,0
2019,1,12,20,30,27,0
2019,1,12,21,30,26.4,0
2019,1,12,22,30,25.5,0
2019,1,12,23,30,25.1,0
2019,1,13,0,30,23.6,0
2019,1,13,1,30,22.7,0
2019,1,13,2,30,21.9,0
2019,1,13,3,30,21.4,0
2019,1,13,4,30,21.1,0
2019,1,13,5,30,21.5,0
2019,1,13,6,30,23.5,66
2019,1,13,7,30,26.6,279
2019,1,13,8,30,29.7,495
2019,1,13,9,30,32.2,651
2019,1,13,10,30,33.8,776
2019,1,13,11,30,34.8,830
2019,1,13,12,30,35.4,793
2019,1,13,13,30,35.5,696
2019,1,13,14,30,35,539
2019,1,13,15,30,33.5,337
2019,1,13,16,30,31.2,124
2019,1,13,17,30,29.3,0
2019,1,13,18,30,28.3,0
2019,1,13,19,30,27.2,0
2019,1,13,20,30,26.1,0
2019,1,13,21,30,25.2,0
2019,1,13,22,30,24.3,0
2019,1,13,23,30,23.8,0
2019,1,14,0,30,22.3,0
2019,1,14,1,30,21.5,0
2019,1,14,2,30,20.8,0
2019,1,14,3,30,20.2,0
